...1,Word,Context,Spacy POS,Length,count
160,dirty,nobody calls my girl a dirty dirty.,JJ,5,16101662
161,get,lets get get' em out.,VB,3,605984508
162,there,let the lawyer of the logging company argue this since she is the only up there there' s no chance for survival anyway there had to be a male too so we get a male up there and let them together,RB,5,701170205
163,weird,i like walking on the beach and sharing pop corns with someone and also the sound of back street boys you' re weird weird?,JJ,5,11556427
164,out,the let the sources drie out out of revenge.,RB,3,741601852
165,sing,now he' s a houseguest in sing sing.,VB,4,11114001
166,hot,it' s a hot hot dog.,JJ,3,159287179
167,louie,louie louie,VB,5,1252710
168,something,i knew i had to do something something drastic to salvage what little i had left,NN,9,131836210
169,squash,"- oh, squash squash!",VB,6,3985349
170,something,i knew i had to do something something drastic to salvage what little i had left,NN,9,131836210
171,woo,woo woo.,VB,3,2718146
172,woo,woo woo.,VB,3,2718146
173,party,"oh, you mean a party party?",NN,5,144707500
174,ever,now pull the sides of your mouth ever ever closer to the ears...,RB,4,100264634
175,something,- somebody from something something.,NN,9,131836210
176,friend,"i mean, i like to consider myself her best friend...... but andrew is her best friend friend, if that makes any sense.",NN,6,154527125
177,friend,"i mean, i like to consider myself her best friend...... but andrew is her best friend friend, if that makes any sense.",NN,6,154527125
178,something,- somebody from something something.,NN,9,131836210
179,friend,"i mean, i like to consider myself her best friend...... but andrew is her best friend friend, if that makes any sense.",NN,6,154527125
180,business,"listen, why don' t i give you a lift and then we can talk about this state business business in the car.",NN,8,637134177
181,cher,- cher cher?,NN,4,1720213
182,hunka,- i can' t see.... a newly smitten hunka hunka burning love.,NN,5,38692
183,weird,"normal weird, or weird weird?",JJ,5,11556427
184,electricity,but isn' t electricity electricity?,NN,11,15377549
185,have,"i must have have known, of course, but i was too scared to see the truth.",VB,4,1564202750
186,night,"aii right, pumpkin, night night.",NN,5,130531484
187,zip,"<i>can i get a little zip zip</ i> <i>looky, looky </ i>",VB,3,70551270
188,hunka,a newly smitten hunka hunka burning love.,NN,5,38692
189,something,- somebody from something something.,NN,9,131836210
191,kiss,- kiss kiss.,VB,4,14790481
192,love,ofwhat is it to love love,NN,4,201063526
193,very,she was a very very family- oriented girl.,RB,4,334923368
194,very,a very very big raise.,RB,4,334923368
195,great,it' s my great great grandfather.,JJ,5,301487430
196,lop,nescobar a lop lop.,VB,3,455673
197,wha,err... wha wha what does that mean?,NN,3,673618
198,lie,but if you must lie lie in the arms of the one you love.,VB,3,13533542
199,steal,if you have to steal steal away from bad company.,VB,5,6257493
200,cheat,if you must cheat cheat death.,VB,5,9903572
201,drink,and if you must drink drink in the moments that take your breath away.,VB,5,29254937
202,very,"mrs. cole, thanks very very much for seeing me.",RB,4,334923368
203,anything,# i can do anything anything,NN,8,75985266
204,sing,sing sing?,VB,4,11114001
205,long,"ok. ""i got a long long day ahead of me""  yeah!",RB,4,252519588
206,special,i think you' re a special special man.,JJ,7,244311841
207,whoa,- whoa whoa!,NN,4,1286431
208,good,good good!,JJ,4,365796396
209,whoa,"whoa whoa, hey!",NN,4,1286431
210,deeply,i deeply deeply love,RB,6,7641115
211,shake,"give me some shake shake your base, you know",VB,5,6839319
212,wop,"# shoo be do be do be do be do wop wop, shoo be do be do be do be do wop wop #",NN,3,558906
213,wop,# you' re gonna want me for your girl # shoo be do be do be do be do wop wop,NN,3,558906
214,wop,# the arms i long for will open wide # shoo be do be do be do be do wop wop,NN,3,558906
215,wop,# and you' il be proud to have me # shoo be do be do be do be do wop wop,NN,3,558906
216,wop,# right by your side # shoo be do be do be do be do wop wop,NN,3,558906
217,wop,# you' re gonna want me for your girl # shoo be do be do be do be do wop wop #,NN,3,558906
218,wop,"# one fine day, we' il meet once more # shoo be do be do be do be do wop wop #",NN,3,558906
219,wha,err... wha wha what does that mean?,NN,3,673618
220,lie,but if you must lie lie in the arms of the one you love.,VB,3,13533542
221,steal,if you have to steal steal away from bad company.,VB,5,6257493
222,cheat,if you must cheat cheat death.,VB,5,9903572
223,drink,and if you must drink drink in the moments that take your breath away.,VB,5,29254937
224,very,"mrs. cole, thanks very very much for seeing me.",RB,4,334923368
225,sing,sing sing?,VB,4,11114001
226,long,i got a long long day ahead of me  yeah!,RB,4,252519588
227,smoke,"not smoke smoke, but she used to... once in a while.",VB,5,16567733
228,long,# i got a long long day ahead of me #  yeah!,RB,4,252519588
229,liar,"i`m going to. `cause i watched this movie called liar liar... and the message was, ``don`t lie. ``",VB,4,1819814
230,tin,"i took rin tin tin out f or a shit, f or christ' s sakes.",NN,3,10695557
231,very,- because he' s a very very bright kid.,RB,4,334923368
232,ever,"never, ever ever.",RB,4,100264634
233,ever,"never, ever ever.",RB,4,100264634
234,gobble,gobble gobble.,NN,6,322005
235,real,"well, my agent would be real real miffed with me if i --",JJ,4,297674493
236,very,loss and redemption is very very good.,RB,4,334923368
237,chim,"chim chiminy, chim chiminy chim chim cheree",NN,4,282620
238,chim,"chim chiminy, chim chiminy chim chim cheroo",NN,4,282620
239,chim,"chim chiminy chim chim cheree, chim cheroo",NN,4,282620
240,chim,"chim chiminy, chim chiminy chim chim cheroo",NN,4,282620
241,chim,"chim chiminy, chim chiminy chim chim cheroo",NN,4,282620
242,chim,"chim chiminy, chim chiminy chim chim cheroo",NN,4,282620
243,chim,"chim chiminy, chim chiminy chim chim cheree",NN,4,282620
244,chim,"chim chiminy, chim chiminy chim chim cheroo",NN,4,282620
245,chim,"chim chiminy, chim chiminy chim chim cheree",NN,4,282620
246,chim,"chim chiminy, chim chiminy chim chim cheroo",NN,4,282620
247,chim,"chim chiminy, chim chiminy chim chim cheree",NN,4,282620
248,chim,"chim chiminy, chim chiminy chim chim cheroo",NN,4,282620
249,chim,"chim chiminy, chim chiminy chim chim cheree",NN,4,282620
250,chim,"then them what sings chim chim cheree, chim cheroo",NN,4,282620
251,chim,chim chiminy chim chim,NN,4,282620
252,piu,lau piu piu.,NN,3,361747
253,piu,i' m lau piu piu.,NN,3,361747
254,piu,piu piu.,NN,3,361747
255,piu,"piu piu, i love you.",NN,3,361747
257,love,old black magic called love love,NN,4,201063526
258,lopo,subtitles ripped 6. nov. 2002 by lopo lopo@ losys. sk,NN,4,24780
259,boom,"match in the gas tank, boom boom",NN,4,7869145
260,boom,"match in the gas tank, boom boom",NN,4,7869145
261,boom,"match in the gas tank, boom boom",NN,4,7869145
262,boom,"match in the gas tank, boom boom",NN,4,7869145
263,boom,"match in the gas tank, boom boom {y: i} good boy.",NN,4,7869145
264,sweet,# i used to be such a sweet sweet thing 'til they #,JJ,5,32311923
265,sing,my old man was executed at sing sing in '59...... for murder.,VB,4,11114001
266,never,ding don' t you never never say that we' re through ding,RB,5,149556758
267,totally,the whole thing was just totally totally extreme.,RB,7,24276857
268,food,- not food food.,NN,4,180144029
269,very,and that' s looking very very good.,RB,4,334923368
270,very,and that' s looking very very good.,RB,4,334923368
272,light,"she came towards me...... with the light, like it was the light light of heavenly grace.",JJ,5,126699632
274,light,she came towards me...... with the light like it was the light light of heavenly grace.,JJ,5,126699632
275,black,"i came back to life after a long, black black gap...... of what might have been a million years.",JJ,5,244690155
276,sing,when they finally nailed him for fraud he spent five years in sing sing.,VB,4,11114001
277,sure,# but if they get a chance they' il end it for sure sure they would #,RB,4,110528740
278,sure,but if they get a chance they' il end it for sure sure they would,RB,4,110528740
279,there,look over there there' s some dvds.,RB,5,701170205
280,denial,- that' s a non- denial denial.,NN,6,6157847
281,denial,my non- denial denial.,NN,6,6157847
282,ying,ying ying,NN,4,1280737
283,ying,ying ying,NN,4,1280737
284,ying,i' m ying ying,NN,4,1280737
285,ying,"ying ying, is that you?",NN,4,1280737
286,ying,where' s ying ying?,NN,4,1280737
287,ying,ying ying!,NN,4,1280737
288,then,but even then then you didn' t isolate yourself here,RB,4,369928941
289,ying,"ying ying, what are you doing here?",NN,4,1280737
290,ying,ying ying...,NN,4,1280737
291,ying,ying ying!,NN,4,1280737
292,ying,ying ying has already...,NN,4,1280737
293,ying,ying ying,NN,4,1280737
294,ying,ying ying made this for you,NN,4,1280737
295,very,it' s very very dark.,RB,4,334923368
296,really,i' m really really trying to understand.,RB,6,162033390
297,baby,don`t such strong strength! you will hurt baby baby`s head is out.. so dangouse,NN,4,117696064
298,pop,-- pop pop i wanna... shasta -- i' il take it.,VB,3,54140138
299,there,# there' s a party over there there' s a party over here #,RB,5,701170205
300,sing,i oan' t go to sing sing with a green faoe.,VB,4,11114001
301,sing,sing sing?,VB,4,11114001
302,sing,"as i understand it, you' re going to visit somebody at sing sing.",VB,4,11114001
303,sing,miss golightly' s on her way to sing sing.,VB,4,11114001
304,sing,"well, how was sing sing?",VB,4,11114001
305,out,"you' re not out out for queen of the pampas, anyway.",RB,3,741601852
307,mow,what am i asking for? papa oom mow mow.,VB,3,517690
308,mow,o. k. papa oom mow mow.,VB,3,517690
309,mow,* papa oom mow mow,VB,3,517690
310,mow,* papa oom mow mow,VB,3,517690
311,mow,sorry. * papa oom mow mow...,VB,3,517690
312,toot,"toot toot, america...",VB,4,335690
313,too,that this too too solid flesh would melt... thaw and resolve itself into a dew.,RB,3,176093255
314,night,"my liege, and madam... to expostulate what majesty should be, what duty is... why day is day, night night, and time is time... were nothing but to waste night, day, and time.",NN,5,130531484
315,bam,my name is dangerous dillard fighting flipo bam bam... out of broward county texas.,NN,3,1994832
316,good,"alright, now you dont want to hit him when he' s coming toward ya cause what he' s gonna do is just push you back and is gonna smuggle your punches take you by , so you watch him real carefully, keep rotating, that keeps your head moving and keep one shoulder back so you' re always ready to fire power shot, alright now go ahead now, good good, keep rotating, keep moving, that' s it, good good, keep that chin tucked in, come around keep moving, keep moving, good... yeah?",JJ,4,365796396
317,mmm,god this is a mistake already. mmm mmm i' m listening boss.,VB,3,1705485
318,good,good good.,JJ,4,365796396
319,about,i have to tell about about a meeting i have had which gave me a fright.,RB,5,1226734006
320,mathilde,manech loves mathilde mathilde loves manech,RB,8,149882
321,bum,bum bum,NN,3,1523602
322,bum,bum bum,NN,3,1523602
323,ambulance,ambulance ambulance,NN,9,4363682
324,dad,dad dad!,NN,3,15136055
325,mathilde,manech but mathilde mathilde but manech,RB,8,149882
326,bum,# bum bum #,NN,3,1523602
327,bum,# bum bum #,NN,3,1523602
328,now,"i bought how mad, there now now... nothing.",RB,3,611387736
329,thing,the thing thing.,NN,5,97451660
330,think,- # think - # think think,VB,5,217856550
331,think,- jed gave it to me. - # think think - # let your mind go...,VB,5,217856550
332,cowardly,"you' re a cowardly custard... cowardly, cowardly custard, cowardly cowardly custard",RB,8,513225
334,spectacular,"a play, something very modern called spectacular spectacular.",JJ,11,10602657
335,spectacular,"once satine heard my modern poetry, she would be astounded... and insist to zidler that i write spectacular spectacular.",JJ,11,10602657
336,spectacular,it' s from spectacular spectacular.,JJ,11,10602657
337,spectacular,spectacular spectacular!,JJ,11,10602657
338,spectacular,spectacular spectacular no words in the vernacular,JJ,11,10602657
339,hungry,hungry hungry hippos.,JJ,6,6217455
340,hungry,"how did you feel, being denied these hungry hungry hippos?",JJ,6,6217455
341,hip,hip hip hurrah!,NN,3,26826008
342,hip,hip hip hurrah!,NN,3,26826008
343,hip,hip hip hurrah!,NN,3,26826008
344,long,this game started long long ago.,RB,4,252519588
345,long,this game started long long ago.,RB,4,252519588
346,wise,"thank you for your words, your wise wise words.",JJ,4,13299902
347,truly,truly truly),RB,5,21693553
348,truly,"¶ you' ve got a way of spinning ¶ i guess you' d call it art ¶ doesn' t matter what the outcome is ¶ i' m sure you played your part ¶ well, you come on like an earthquake ¶ even though you float on through ¶ give me just a moment' s notice ¶ i' il make due ¶ only a fool would not believe it ¶ only a blind man couldn' t see ¶ if you' re concerned about my heart ¶ truly truly ¶ i' ve seen this movie a thousand times ¶ i won' t give the ending away ¶ i' ve bought a ticket so i' m entitled to stay ¶ i' ve seen this movie a thousand times ¶ and i' m not giving the ending away ¶ i' ve bought a ticket so i' m entitled to stay",RB,5,21693553
349,truly,"¶ truly truly ¶ yeah, truly truly ¶ truly truly ¶ yeah, truly truly ¶ truly truly ¶ yeah, truly truly ¶ truly truly ¶ yeah, truly truly ¶",RB,5,21693553
350,hip,hip hip hurrah!,NN,3,26826008
351,hip,hip hip hurrah!,NN,3,26826008
352,hip,hip hip hurrah!,NN,3,26826008
353,truly,truly truly),RB,5,21693553
354,truly,truly truly,RB,5,21693553
355,truly,truly truly,RB,5,21693553
356,truly,"yeah, truly truly",RB,5,21693553
357,truly,truly truly,RB,5,21693553
358,truly,"yeah, truly truly",RB,5,21693553
359,truly,truly truly,RB,5,21693553
360,truly,"yeah, truly truly",RB,5,21693553
361,truly,truly truly,RB,5,21693553
362,truly,"yeah, truly truly",RB,5,21693553
363,proud,cretinous moron a man ought to be proud proud of such an appendix.,JJ,5,17167504
364,too,"o that this too too... ""solid nose would melt.""",RB,3,176093255
365,exciting,that' s exciting exciting!,JJ,8,16900145
367,there,thus there there yet five must be killed.,RB,5,701170205
368,tin,you' re interviewing rin tin tin!,NN,3,10695557
369,there,thus there there yet five must be killed.,RB,5,701170205
370,there,"see, look over there there' s someone",RB,5,701170205
371,have,- we' iljust have have to deal with them.,VB,4,1564202750
372,karol,"a businessman from poland, karol karol.",NN,5,390229
373,never,so there' s never never a trace of red,RB,5,149556758
374,karol,"a businessman from poland, karol karol.",NN,5,390229
375,sex,and then this non- sex sex thing.,NN,3,320105999
376,sweetheart,sweetheart sweetheart,NN,10,1767766
377,there,"hey, there there...",RB,5,701170205
378,boom,boom boom.,NN,4,7869145
379,timmy,"timmy, oh timmy timmy come over and sit on grandma' s lap timmy, timmy, what?",JJ,5,726546
380,oink,don' t take any oink oink off that pretty pig.,VB,4,214048
381,just,just just go out to the next stall,RB,4,462836169
382,just,iet' s just just wait for help,RB,4,462836169
383,very,that' s very very sweet,RB,4,334923368
384,really,"no, what' d you really really see?",RB,6,162033390
385,call,and if you go chasing rabbits and you know you' re going to fall tell him i' il hook her smoking caterpillar has given you the call call alice... when she was just small when the men on the chess board get up and tell you where to go and you just have some kind of mushroom and your mind is moving on go ask alice,VB,4,199608869
386,run,run run,VB,3,117213565
387,very,i' m a very very busy man.,RB,4,334923368
388,mighty,"# she' s mighty mighty, #",RB,6,7268735
389,mighty,"# yeah, she' s mighty mighty, just lettin 'it all hang out #",RB,6,7268735
390,mighty,"# yeah, she' s mighty mighty, just lettin 'it all hang out #",RB,6,7268735
391,mighty,"# yeah, she' s mighty mighty just lettin 'it all hang out #",RB,6,7268735
392,doctor,"where is elizeberth we must help the baby, call the doctor doctor calrs please, plese come to room 6 the baby cant come out, how?",NN,6,39845710
393,home,"# home, sweet home home, sweet home",NN,4,1276852170
394,home,"# home, sweet home home, sweet home",NN,4,1276852170
395,wait,wait wait.,VB,4,39001376
396,sugar,"i' m starting to get diabetes from all this ""sugar sugar"" over here.",NN,5,22450333
397,hurry,hurry hurry!,VB,5,3536968
398,sing,do you remember that artist in sing sing who painted the last supper on his cell?,VB,4,11114001
399,sing,by the time this guy gets out of sing sing... this head will grow a long beard.,VB,4,11114001
400,boom,boom boom has got him now!,NN,4,7869145
401,boom,boom boom has got him.,NN,4,7869145
402,very,either i' m going out of my mind or something very very strange is happening.,RB,4,334923368
403,crap,the dead are leaving their tombs that' s a load of crap crap or not i' m taking my money i' m closing my doors until tomorrow morning and i' m not opening it for anybody,NN,4,7169097
404,doo,ooh dee la doo doo ho ho ho ho,VB,3,4102101
405,listen,"- come on, listen listen to me",VB,6,43252527
406,listen,"- come on, listen listen to me",VB,6,43252527
407,very,"probably look like i' m a terrible housekeeper, which i sometimes am...... but i can also be very very, you know, organised and neat.",RB,4,334923368
408,sure,we analyze a situation to make sure sure that the truth is on our side.,RB,4,110528740
409,jar,jar jar.,NN,3,6549211
410,jar,"you' re a good friend, jar jar.",NN,3,6549211
411,have,time may have have distorted the history of your memory.,VB,4,1564202750
412,fucky,fucky fucky?,JJ,5,19915
413,good,this good good night,JJ,4,365796396
414,jar,"- good to see you again, jar jar.",NN,3,6549211
415,jar,"she hardly even recognized me, jar jar.",NN,3,6549211
416,jar,"jar jar, i don' t wish to hold you up.",NN,3,6549211
417,aha,"and ""that' s the way aha aha i like it"", ""kc and the sunshine band"".",RB,3,1504696
418,sweet,- gladly my sweet sweet ladies.,JJ,5,32311923
419,move,move move....,VB,4,70113140
420,move,move move..,VB,4,70113140
421,boom,boom boom.,NN,4,7869145
423,anal,anal anal get in.,JJ,4,59776241
424,excersize,we just wanted to excersize excersize?,VB,9,28257
425,crazy,"i don' t know much in this crazy crazy world... but i do know... that if you don' t let us fuck this asshole, we are going to have our dicks and pussies all covered in shit.",JJ,5,23032837
426,takeoff,just a little pre- takeoff takeoff.,NN,7,646648
427,nothing,"master, monks have nothing nothing to requite",NN,7,73183983
428,lock,# boom sha lock lock boom!,VB,4,22253866
429,lock,# boom sha lock lock boom!,VB,4,22253866
430,lock,# boom sha lock lock boom!,VB,4,22253866
431,lock,# the cartoon boom sha lock lock,VB,4,22253866
432,lock,# boom sha lock lock boom!,VB,4,22253866
433,lock,# boom sha lock lock boom!,VB,4,22253866
434,lock,# boom sha lock lock boom!,VB,4,22253866
435,lock,boom sha lock lock boom!,VB,4,22253866
436,takeoff,just a little pre- takeoff takeoff.,NN,7,646648
437,lock,boom sha lock lock boom!,VB,4,22253866
438,lock,boom sha lock lock boom!,VB,4,22253866
439,lock,boom sha lock lock boom!,VB,4,22253866
440,lock,the cartoon boom sha lock lock,VB,4,22253866
441,lock,boom sha lock lock boom!,VB,4,22253866
442,lock,boom sha lock lock boom!,VB,4,22253866
443,lock,boom sha lock lock boom!,VB,4,22253866
444,lock,boom sha lock lock boom!,VB,4,22253866
445,sure,"oh sure sure, please, sit.",RB,4,110528740
446,long,i was soon relieved of my position where i have a long long forest of tendencies to tell the truth... in a country where they never say what they need.,RB,4,252519588
447,sure,"oh sure sure, please, sit.",RB,4,110528740
